"file","golden","symbols"
"fixtures/corpus/av_lim_points_two.frees","true",""
"fixtures/corpus/av_lim_points_zero.frees","true",""
"fixtures/corpus/av_lim_rtol_zero.frees","true",""
"fixtures/corpus/av_lim_step_exceeds_span.frees","true",""
"fixtures/corpus/av_lim_stop_row_grid.frees","true",""
"fixtures/corpus/av_lim_units_in_header.frees","true",""
"fixtures/corpus/av_lim_unknown_method.frees","true",""
"fixtures/corpus/av_lim_unknown_option.frees","true",""
"fixtures/corpus/av_lin_default_names.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_lin_state_as_output.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_lin_two_in_two_out.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_lin_two_states_one_input.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_lin_unknown_block.frees","true","HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_lin_unknown_output.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_live_cheap_final.frees","true","odevalue;finalvalue"
"fixtures/corpus/av_live_cheap_maxvalue.frees","true","odevalue;maxvalue"
"fixtures/corpus/av_live_cheap_odevalue.frees","true","odevalue"
"fixtures/corpus/av_live_cheap_timeat.frees","true","odevalue;timeat"
"fixtures/corpus/av_live_two_unknowns.frees","true","odevalue;finalvalue"
"fixtures/corpus/av_mol_rosenbrock_rod.frees","true",""
"fixtures/corpus/av_stor_capacitor_dynamic.frees","true","Capacitor;Ground;Resistor;VoltageSource"
"fixtures/corpus/av_stor_mass_with_event.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_stor_steady_limit.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_stor_thermalmass_dynamic.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_stor_two_masses_dynamic.frees","true","Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/av_unc_chain_three_deep.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_declares_unknown_var.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_expression_spec.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_kinetic_energy.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_negative_spec.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_no_query.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_on_component_param.frees","true","uncertaintyof;Conduction;ThermalSource"
"fixtures/corpus/av_unc_query_only.frees","true","uncertaintyof"
