"name","families","domain","page","tier","boundExamples","runnableHits","allHits"
"hx_fin_len","functions","Heat Transfer","web/src/docs/reference/heat-transfer/hx_fin_len.md","rich","ev-thermal-management","gallery:ev-thermal-management","gallery:ev-thermal-management"
"hx_area_direct","functions","Heat Transfer","web/src/docs/reference/heat-transfer/hx_area_direct.md","rich","ev-thermal-management","gallery:ev-thermal-management","gallery:ev-thermal-management"
"hx_area_indirect","functions","Heat Transfer","web/src/docs/reference/heat-transfer/hx_area_indirect.md","rich","ev-thermal-management","gallery:ev-thermal-management","gallery:ev-thermal-management"
"dp_gravity","functions","Heat Transfer","web/src/docs/reference/heat-transfer/dp_gravity.md","reference","","",""
"mass_flux","functions","Heat Transfer","web/src/docs/reference/heat-transfer/mass_flux.md","stub","","",""
"j_fin","functions","Heat Transfer","web/src/docs/reference/heat-transfer/j_fin.md","reference","","",""
"f_fin","functions","Heat Transfer","web/src/docs/reference/heat-transfer/f_fin.md","reference","","",""
"nu_gungor_winterton","functions","Heat Transfer","web/src/docs/reference/heat-transfer/nu_gungor_winterton.md","reference","","",""
"nu_traviss","functions","Heat Transfer","web/src/docs/reference/heat-transfer/nu_traviss.md","reference","","",""
"dp_2phase_avg","functions","Heat Transfer","web/src/docs/reference/heat-transfer/dp_2phase_avg.md","reference","","",""
"lm_phi2","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/lm_phi2.md","reference","","",""
"lm_martinelli_tt","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/lm_martinelli_tt.md","reference","","",""
"void_homogeneous","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/void_homogeneous.md","reference","","",""
"void_zivi","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/void_zivi.md","reference","","",""
"void_rouhani","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/void_rouhani.md","reference","","",""
"friedel_phi2","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/friedel_phi2.md","reference","","",""
"momentum_flux","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/momentum_flux.md","reference","","",""
"nu_dittus_boelter","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/nu_dittus_boelter.md","reference","","",""
"nu_gnielinski","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/nu_gnielinski.md","reference","","",""
"chen_f","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/chen_f.md","reference","","",""
"chen_s","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/chen_s.md","reference","","",""
"nu_shah","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/nu_shah.md","reference","","",""
"nu_cavallini_zecchin","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/nu_cavallini_zecchin.md","reference","","",""
"zone_ramp","functions","Two-Phase Flow","web/src/docs/reference/two-phase-flow/zone_ramp.md","reference","","",""
"isa_t","functions","Atmosphere","web/src/docs/reference/atmosphere/isa_t.md","reference","","",""
"isa_p","functions","Atmosphere","web/src/docs/reference/atmosphere/isa_p.md","reference","","",""
"isa_rho","functions","Atmosphere","web/src/docs/reference/atmosphere/isa_rho.md","reference","","",""
"eos_z","functions","Properties (EOS)","web/src/docs/reference/properties-eos/eos_z.md","rich","cubic-eos-properties","gallery:cubic-eos-properties","gallery:cubic-eos-properties"
"eos_volume","functions","Properties (EOS)","web/src/docs/reference/properties-eos/eos_volume.md","rich","cubic-eos-properties","gallery:cubic-eos-properties","gallery:cubic-eos-properties"
"eos_density","functions","Properties (EOS)","web/src/docs/reference/properties-eos/eos_density.md","rich","cubic-eos-properties","gallery:cubic-eos-properties","gallery:cubic-eos-properties"
"eos_pressure","functions","Properties (EOS)","web/src/docs/reference/properties-eos/eos_pressure.md","reference","","",""
"eos_enthalpy","functions","Properties (EOS)","web/src/docs/reference/properties-eos/eos_enthalpy.md","rich","cubic-eos-properties","gallery:cubic-eos-properties","gallery:cubic-eos-properties"
"eos_entropy","functions","Properties (EOS)","web/src/docs/reference/properties-eos/eos_entropy.md","reference","","",""
"eos_psat","functions","Properties (EOS)","web/src/docs/reference/properties-eos/eos_psat.md","rich","cubic-eos-properties","gallery:cubic-eos-properties","gallery:cubic-eos-properties"
"adiabaticflametemp","functions","Combustion","web/src/docs/reference/combustion/AdiabaticFlameTemp.md","rich","adiabatic-flame-temp","gallery:adiabatic-flame-temp","gallery:adiabatic-flame-temp"
"mix_mw","functions","Combustion","web/src/docs/reference/combustion/mix_mw.md","stub","","",""
"mix_cp","functions","Combustion","web/src/docs/reference/combustion/mix_cp.md","stub","","",""
"mix_enthalpy","functions","Combustion","web/src/docs/reference/combustion/mix_enthalpy.md","stub","","",""
"mix_entropy","functions","Combustion","web/src/docs/reference/combustion/mix_entropy.md","stub","","",""
"wiebe","functions","Combustion","web/src/docs/reference/combustion/wiebe.md","reference","","",""
"wiebe_rate","functions","Combustion","web/src/docs/reference/combustion/wiebe_rate.md","rich","engine-cycle-wiebe","gallery:engine-cycle-wiebe","gallery:engine-cycle-wiebe"
"mix_viscosity","functions","Combustion","web/src/docs/reference/combustion/mix_viscosity.md","reference","","",""
"mix_conductivity","functions","Combustion","web/src/docs/reference/combustion/mix_conductivity.md","stub","","",""
"eq_molefraction","functions","Combustion","web/src/docs/reference/combustion/eq_molefraction.md","reference","","",""
"adiabaticflametempeq","functions","Combustion","web/src/docs/reference/combustion/adiabaticflametempeq.md","reference","","",""
"arcsin","functions","Math","web/src/docs/reference/math/arcsin.md","stub","","",""
"arccos","functions","Math","web/src/docs/reference/math/arccos.md","stub","","",""
"arctan","functions","Math","web/src/docs/reference/math/arctan.md","stub","","help-cycle:orbit-kepler;docs/tutorials.md:13","help-cycle:orbit-kepler;docs/tutorials.md:11;docs/tutorials.md:13"
"sinh","functions","Math","web/src/docs/reference/math/sinh.md","stub","","",""
"cosh","functions","Math","web/src/docs/reference/math/cosh.md","stub","","",""
"tanh","functions","Math","web/src/docs/reference/math/tanh.md","stub","","gallery:ev-battery-cooling-pid","gallery:ev-battery-cooling-pid"
"arcsinh","functions","Math","web/src/docs/reference/math/arcsinh.md","stub","","",""
"arccosh","functions","Math","web/src/docs/reference/math/arccosh.md","stub","","",""
"arctanh","functions","Math","web/src/docs/reference/math/arctanh.md","stub","","",""
"trunc","functions","Math","web/src/docs/reference/math/trunc.md","stub","","","docs/programming_logic.md:2"
"factorial","functions","Math","web/src/docs/reference/math/factorial.md","stub","","",""
"gcd","functions","Math","web/src/docs/reference/math/gcd.md","stub","","",""
"lcm","functions","Math","web/src/docs/reference/math/lcm.md","stub","","",""
"bitand","functions","Math","web/src/docs/reference/math/bitand.md","stub","","",""
"bitor","functions","Math","web/src/docs/reference/math/bitor.md","stub","","",""
"bitxor","functions","Math","web/src/docs/reference/math/bitxor.md","stub","","",""
"bitnot","functions","Math","web/src/docs/reference/math/bitnot.md","stub","","",""
"bitshiftl","functions","Math","web/src/docs/reference/math/bitshiftl.md","stub","","",""
"bitshiftr","functions","Math","web/src/docs/reference/math/bitshiftr.md","stub","","",""
"baseconvert","functions","Math","web/src/docs/reference/math/baseconvert.md","stub","","",""
"product","functions","Math","web/src/docs/reference/math/product.md","stub","","",""
"if","functions","Logic","web/src/docs/reference/logic/if.md","rich","sounding-rocket-trajectory","gallery:sounding-rocket-trajectory","gallery:sounding-rocket-trajectory;docs/language_fundamentals.md:5"
"average","functions","Stats","web/src/docs/reference/stats/average.md","stub","","",""
"rms","functions","Stats","web/src/docs/reference/stats/rms.md","stub","","",""
"percentile","functions","Stats","web/src/docs/reference/stats/percentile.md","reference","","",""
"slope","functions","Stats","web/src/docs/reference/stats/slope.md","stub","","",""
"intercept","functions","Stats","web/src/docs/reference/stats/intercept.md","stub","","",""
"r2","functions","Stats","web/src/docs/reference/stats/r2.md","stub","","",""
"probability","functions","Stats","web/src/docs/reference/stats/probability.md","rich","","","docs/language_fundamentals.md:6;docs/reference/stats/probability.md:2"
"normalcdf","functions","Stats","web/src/docs/reference/stats/normalcdf.md","reference","","",""
"normalpdf","functions","Stats","web/src/docs/reference/stats/normalpdf.md","stub","","",""
"normalinvcdf","functions","Stats","web/src/docs/reference/stats/normalinvcdf.md","reference","","",""
"chi_square","functions","Stats","web/src/docs/reference/stats/chi_square.md","stub","","",""
"random","functions","Stats","web/src/docs/reference/stats/random.md","stub","","",""
"randg","functions","Stats","web/src/docs/reference/stats/randg.md","stub","","",""
"real","functions","Complex","web/src/docs/reference/complex/real.md","stub","","",""
"imag","functions","Complex","web/src/docs/reference/complex/imag.md","stub","","",""
"conj","functions","Complex","web/src/docs/reference/complex/conj.md","stub","","",""
"magnitude","functions","Complex","web/src/docs/reference/complex/magnitude.md","stub","","",""
"angle","functions","Complex","web/src/docs/reference/complex/angle.md","stub","","",""
"angledeg","functions","Complex","web/src/docs/reference/complex/angledeg.md","stub","","",""
"cis","functions","Complex","web/src/docs/reference/complex/cis.md","stub","","","docs/language_fundamentals.md:16"
"gamma","functions","Special Functions","web/src/docs/reference/special-functions/gamma.md","rich","","","docs/reference/special-functions/gamma.md:2"
"loggamma","functions","Special Functions","web/src/docs/reference/special-functions/loggamma.md","rich","","","docs/reference/special-functions/loggamma.md:2"
"digamma","functions","Special Functions","web/src/docs/reference/special-functions/digamma.md","rich","","","docs/reference/special-functions/digamma.md:2"
"beta","functions","Special Functions","web/src/docs/reference/special-functions/beta.md","rich","","","docs/reference/special-functions/beta.md:2"
"erf","functions","Special Functions","web/src/docs/reference/special-functions/erf.md","rich","","","docs/reference/special-functions/erf.md:2"
"erfc","functions","Special Functions","web/src/docs/reference/special-functions/erfc.md","rich","","","docs/reference/special-functions/erfc.md:2"
"erfinv","functions","Special Functions","web/src/docs/reference/special-functions/erfinv.md","rich","","","docs/reference/special-functions/erfinv.md:2"
"besselj","functions","Special Functions","web/src/docs/reference/special-functions/besselj.md","rich","","","docs/reference/special-functions/besselj.md:2"
"bessely","functions","Special Functions","web/src/docs/reference/special-functions/bessely.md","rich","","","docs/reference/special-functions/bessely.md:2"
"besseli","functions","Special Functions","web/src/docs/reference/special-functions/besseli.md","rich","","","docs/reference/special-functions/besseli.md:2"
"besselk","functions","Special Functions","web/src/docs/reference/special-functions/besselk.md","rich","","","docs/reference/special-functions/besselk.md:2"
"besselj0","functions","Special Functions","web/src/docs/reference/special-functions/besselj0.md","rich","","","docs/reference/special-functions/besselj0.md:2"
"besselj1","functions","Special Functions","web/src/docs/reference/special-functions/besselj1.md","rich","","","docs/reference/special-functions/besselj1.md:2"
"bessely0","functions","Special Functions","web/src/docs/reference/special-functions/bessely0.md","rich","","","docs/reference/special-functions/bessely0.md:2"
"bessely1","functions","Special Functions","web/src/docs/reference/special-functions/bessely1.md","rich","","","docs/reference/special-functions/bessely1.md:2"
"besseli0","functions","Special Functions","web/src/docs/reference/special-functions/besseli0.md","rich","","","docs/reference/special-functions/besseli0.md:2"
"besseli1","functions","Special Functions","web/src/docs/reference/special-functions/besseli1.md","rich","","","docs/reference/special-functions/besseli1.md:2"
